"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0112","Bhavani Clinic","Hospital / Healthcare","25.615283","85.160224","Ashok Raj Path","449.8","Within 500m (High Direct Access)"
"PAT-FAC-0113","CGHS Dispensary, Budha Marg","Hospital / Healthcare","25.607565","85.133566","Bailey Road","313.1","Within 500m (High Direct Access)"
"PAT-FAC-0114","Shekhar Shalya Chikitsalaya","Hospital / Healthcare","25.587222","85.160516","NH Corridor (NH22)","283.5","Within 500m (High Direct Access)"
"PAT-FAC-0115","J.H.Nursing Home","Hospital / Healthcare","25.601639","85.154899","kankarbagh main road","142.8","Within 500m (High Direct Access)"
"PAT-FAC-0116","M.G.M Hospital And Research Centre Pvt Ltd","Hospital / Healthcare","25.607715","85.15473","NH Corridor (NH139)","518.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0117","Paras HMRI Hospital","Hospital / Healthcare","25.60558","85.082559","Bailey Road Flyover","46.4","Within 500m (High Direct Access)"
"PAT-FAC-0118","Punam Surgical and Maternity Clinic","Hospital / Healthcare","25.606721","85.089142","Bailey Road Flyover","235.9","Within 500m (High Direct Access)"
"PAT-FAC-0119","Magadh Nursing Home","Hospital / Healthcare","25.601963","85.189877","NH Corridor (NH139)","199.2","Within 500m (High Direct Access)"
"PAT-FAC-0120","Divya Jyoti Nursing Home","Hospital / Healthcare","25.606728","85.078456","Bailey Road Flyover","123.1","Within 500m (High Direct Access)"
"PAT-FAC-0121","Ashoka Hospital( Aunit Of Ashoka Multispeciality Hospital Pvt Limited)","Hospital / Healthcare","25.60837","85.160285","Kumhrar Road","635.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0122","Atlantis Hospital","Hospital / Healthcare","25.610262","85.057633","Patna Bypass / Expressway Corridor","64.5","Within 500m (High Direct Access)"
"PAT-FAC-0123","Aarogya Hospital, Patna","Hospital / Healthcare","25.612432","85.155395","Ashok Raj Path","780.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0124","Appolo Burn Hospital","Hospital / Healthcare","25.599708","85.191212","Kumhrar Road","25.4","Within 500m (High Direct Access)"
"PAT-FAC-0125","Magadh Hospital","Hospital / Healthcare","25.609752","85.157906","NH Corridor (NH139)","756.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0126","Sparsh Haritage Hospital","Hospital / Healthcare","25.593253","85.136426","Major City Arterial","9.2","Within 500m (High Direct Access)"
"PAT-FAC-0127","Suman Nursing Home, Patna","Hospital / Healthcare","25.599685","85.166789","Kumhrar Road","224.4","Within 500m (High Direct Access)"
"PAT-FAC-0128","Shahi Hospital (A Unit Of Abhishek Memorial Trust)","Hospital / Healthcare","25.609641","85.157541","NH Corridor (NH139)","742.9","500m - 1000m (Intermediate Access)"
"PAT-FAC-0129","Sri Vinayak Hospital, Patna","Hospital / Healthcare","25.585988","85.17436","NH Corridor (NH22)","68.1","Within 500m (High Direct Access)"
"PAT-FAC-0130","Buddha Eye Care and Laser Centre","Hospital / Healthcare","25.599847","85.155141","kankarbagh main road","338.9","Within 500m (High Direct Access)"
"PAT-FAC-0131","Shri Sai Hospital (A Unit Of Akhilesh Kumar Singh Hospital (P)Ltd)","Hospital / Healthcare","25.599128","85.15725","kankarbagh main road","409.8","Within 500m (High Direct Access)"
"PAT-FAC-0132","Akriti Nursing Home","Hospital / Healthcare","25.5966","85.156384","kankarbagh main road","691.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0133","Keshav Hospital Pvt Ltd","Hospital / Healthcare","25.621969","85.04257","NH Corridor (NH922)","46.2","Within 500m (High Direct Access)"
"PAT-FAC-0134","Maa Dulari Memorial Hospital","Hospital / Healthcare","25.581248","85.141966","NH Corridor (NH22)","314.7","Within 500m (High Direct Access)"
"PAT-FAC-0135","Imdad Medicare Research Institute","Hospital / Healthcare","25.609011","85.183137","Ashok Raj Path","701","500m - 1000m (Intermediate Access)"
"PAT-FAC-0136","Buddha Nursing Home","Hospital / Healthcare","25.61769","85.160921","Ashok Raj Path","175.5","Within 500m (High Direct Access)"
"PAT-FAC-0137","Anup Memorial Orthopaedic Centre","Hospital / Healthcare","25.601143","85.157042","kankarbagh main road","187","Within 500m (High Direct Access)"
